"Enabled","Açık"
"Merchant Liability","Satıcı Sorumluluğu"
"Merchant Protection Eligibility","Satıcı Hak Sahipliği Koruması"
"Merchant Referral Bonus","Satıcı Referans Kazancı"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Satıcı A.B.D. dışı bir hesap kullanıyor ve para çekme imkanına sahip değil."
"Merchant reference ID format is not supported.","Satıcı Referans No biçimi desteklenmiyor."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Satıcılar müşteriden periyodik ödeme alabilmek için PayPal'dan bu özelliği açmak zorundadır. PayPal onay vermeden bu özelliği açmayınız."
"Mobile Payment (made via a mobile phone)","Mobil Ödeme (mobil telefon ile yapılır)"
"N/A. Address not checked, or acquirer had no response. Service not available","Yok. Adres kontrol edilmedi veya alıcı cevap vermedi. Hizmet kullanım dışı"
"N/A. Global Unavailable","Yok. Genel olarak Kullanım Dışı"
"N/A. International Unavailable","Yok. Uluslararası olarak Kullanım Dışı"
"N/A. Merchant has indicated that CVV2 is not present on card","Yok. Satıcı kart üzerinde CVV2 bilgisi olmadığını onayladı"
"N/A. No response","Yok. Cevap yok"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","Yok. MOTO (Internet/Telefon) ödeme işlemlerine kapalı"
"N/A. Not processed","Yok. İşlenmedi"
"N/A. Retry","Yok. Yeniden deneyiniz"
"N/A. Service not Supported","Yok. Hizmet desteklenmiyor"
"N/A. Service not available","Yok. Hizmet kullanım dışı"
"N/A. Service not supported","Yok. Hizmet desteklenmiyor"
"N/A. The merchant did not provide AVS information","Yok. Satıcı AVS bilgisi sağlamıyor"
"N/A. The merchant has not implemented CVV2 code handling","Yok. Satıcı CVV2 kod kontrolünü sağlamıyor"
"N/A. Unavailable","Yok. Kullanım dışı"
"Negative Balance","Negatif Bakiye"
"Never","Asla"
"No","Hayır"
"No Details matched","Detaylar eşleşmedi"
"No Details matched. International","Detaylar eşleşmedi. Uluslararası"
"No Liability Shift","Sorumluluk yükseltmesi yok"
"No Logo","Logo Yok"
"None of the address information matched","Adres bilgisi eşleşmedi"
"Note: %s","Not: %s"
"Nothing to fetch because of an empty configuration.","Ayar bilgileri boş olduğu için çekim yapılamıyor."
"Now accepting PayPal (150 X 40)","PayPal ile ödeme yapabilirsiniz (150 X 40)"
"Now accepting PayPal (150 X 60)","PayPal ile ödeme yapabilirsiniz (150 X 60)"
"Open Authorization","Açık Kimlik Onayı"
"Order ID","Sipariş No"
"Page Background Color","Sayfa Arka Plan Rengi"
"Part of the address information matched","Adres bilgisi kısmen eşleşti"
"Partner","Partner"
"Password","Şifre"
"PayPal Balance Manager function of PayPal account","PayPal hesabındaki PayPal Bakiye Yöneticisi Fonksiyonu"
"PayPal Buyer Warranty Bonus","PayPal Alıcı Garanti Kazancı"
"PayPal Debit Card Cash Advance","PayPal Debit Kart Ödeme İlerlemesi"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Kartı ile ATM den para çekme"
"PayPal Express Checkout Shortcut Wrapper","PayPal Ekspres Ödeme Kısayol Çerçevesi"
"PayPal Express Checkout Token does not exist.","PayPal Ekspres Ödeme anahtar bilgisi bulunamadı."
"PayPal Fee Information","PayPal Ücret Bilgisi"
"PayPal Merchant Pages Style","PayPal Satıcı Sayfası Stili"
"PayPal Product Logo","PayPal Ürün Logosu"
"PayPal Protection Bonus","PayPal Koruma Kazancı"
"PayPal Reference ID","PayPal Referans No"
"PayPal Reference ID Type","PayPal Referans No Tipi"
"PayPal Settlement Reports","PayPal Ödeme Raporları"
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal sıfır toplamlı siparişleri desteklemez. Siparişinizi tamamlamak için normal alışveriş bitirme yöntemini kullanınız."
"PayPal gateway has rejected request. %s","PayPal sunucusu isteği reddetti. %s"
"PayPal processes all of your orders, and you get paid.","PayPal bütün siparişlerinizi işler ve siz paranızı alırsınız."
"PayPal retains reports for 45 days.","PayPal raporları 45 gün tutar."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Elektronik Ticaret Göstergesi"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Müşteri Kimlik Onay Sonucu"
"Payer Address ID","Müşteri Adres No"
"Payer Address Status","Müşteri Adres Durumu"
"Payer Email","Müşteri E-Mail Adresi"
"Payer Email: %s","Müşteri E-Mail Adresi: %s"
"Payer ID","Müşteri No"
"Payer Status","Müşteri Durumu"
"Payer is not identified.","Müşteri kimlik bilgisi alınamadı."
"Payflow Pro Gateway","Payflow Pro Hizmeti"
"Payflow Pro Settings","Payflow Pro Ayarları"
"Payment Applicable From","Ödeme Alabilecek Kişi/Firma"
"Payment Refund initiated by merchant","Ödeme iadesi satıcı tarafından başlatıldı"
"Payments by PayPal (150 X 40)","PayPal ödemeleri (150 X 40)"
"Payments by PayPal (150 X 60)","PayPal ödemeleri (150 X 60)"
"Paypal Billing Agreement Settings","Paypal Ödeme Sözleşmesi Ayarları"
"Place Order","Siparişi Tamamla"
"Points Incentive Redemption","Teşvik Puanı İadesi"
"Postage Payment to either USPS or UPS","USPS veya UPS için gönderim ücreti"
"Preapproved Payment (BillUser API), either sent or received","Ön Onaylı Ödeme (BillUser API), gönderildi veya alındı"
"Preapproved Payment ID","Ön Onaylı Ödeme No"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Paypal'in bu Her Şey Dahil ödeme çözümüyle Kredi Kartı işlemlerinizi direkt sitenizde yapabilirsiniz."
"Reauthorization","Yeniden Onaylama"
"Reference Information","Referans Bilgisi"
"Refund issued by merchant.","Satıcı tarafından para iadesi yapıldı."
"Reimbursement for a chargeback.","Geri ödeme için geri ödeme."
"Reimbursement of Chargeback","Geri ödemenin iadesi"
"Report Date","Rapor Tarihi"
"Reports","Raporlar"
"Require CVV Entry","CVV Bilgisi iste"
"Reversal","Ödeme İptali"
"Reversal of General Account Hold","Hesapta Tutulanın İadesi"
"Reversal of Points Usage","Puan Kullanımı İadesi"
"Reversal of an adjustment.","Ücret Ayarlaması İadesi."
"Reversal of hold for Dispute Investigation","Araştırma nedeniyle tutulan ücretin iadesi"
"Reward Voucher Redemption","Ödül Çeki İadesi"
"SFTP Credentials","SFTP Bilgileri"
"Sales","Satışlar"
"Sandbox Credentials","Sandbox Bilgileri"
"Sandbox Mode","Sandbox Modu"
"Schedule","Zamanlama"
"Schedule description is too long.","Zamanlama açıklaması çok uzun."
"Scheduled Fetching","Zamanlanmış Tahsilat"
"Select a PayPal Solution","Bir Paypal Çözümü Seçiniz"
"Settlement Consolidation","Anlaşma Konsolidasyonu"
"Settlement Report Settings","Anlaşma Raporu Ayarları"
"Settlement of a chargeback.","İade anlaşması."
"Severe 3D Secure Card Validation","3D Secure Kart Doğrulamasında sorun oluştu"
"Severe Validation Removes Chargeback Liability on Merchant","Tam Doğrulama Satıcının İade Zorunluluğunu Ortadan Kaldırır"
"Severe validation removes chargeback liability on merchant.","Tam doğrulama satıcının iade zorunluluğunu ortadan kaldırır."
"Shipping","Teslimat"
"Shop now using (150 X 40)","Hemen Al (150 X 40)"
"Shop now using (150 X 60)","Hemen Al using (150 X 60)"
"Shortcut","Kısayol"
"Shortcut Buttons Flavor","Kısayol Butonu Şekli"
"Shortcut on Product View","Ürün Detayındaki Kısayol Butonu"
"Shortcut on Shopping Cart","Sepetteki Kısayol Butonu"
"Sign a billing agreement to streamline further purchases with PayPal.","Ödeme anlaşması yaparsanız Paypal ile yapılacak ödemeleriniz daha hızlı gerçekleşecektir."
"Solo","Solo"
"Sort Order","Sıralama"
"Subscriber name is too long.","Abone adı çok uzun."
"Subscription ID","Abonelik No"
"Subscription Payment, either payment sent or payment received","Ödeme Aboneliği, ödeme gönderildi veya alındı"
"Summary Text for Aggregated Cart","Birleştirilmiş sepet için Özet Metni"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","American Express kartlarına destek vermek için ek anlaşma gerekmektedir. Daha fazla bilgi için <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Test Mode","Test Modu"
"The background color for the checkout page around the header and payment form.","Başlık ve ödeme formu arkasındaki alanı kaplayacak arka plan rengi."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Alışveriş sonu sayfası ve ödeme formu için arka plan rengi. 6 karakterli Hex renk kodu giriniz."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Alışveriş sonu sayfasının sol üstünde yer alacak resim. İzin verilen en büyük boyut 750x90-piksel. <strong style=""color:red"">https</strong> tavsiye edilir."
"The merchant account is not yet verified.","Satıcı hesabı doğrulanamadı."
"The payment curency does not match any of the merchant\'s balances currency.","Ödeme için kullandığınız para birimi satıcının kullandığı para birimleri arasında yok."
"The payment eCheck is not yet cleared.","Ödeme eCheck'i ödenmedi."
"The payment is authorized but not settled.","Ödeme işlemi doğrulandı fakat yapılmadı."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Henüz kaydedilmemiş veya onaylanmamış bir e-mail adresine yapıldığı için ödeme beklemeye alındı."
"The payment is pending while it is being reviewed by PayPal for risk.","Paypal tarafından risk değerlendirmesi yapılacağından ödeme beklemeye alındı."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Ödeme kredi kartıyla yapıldı. Bu paranın Satıcı hesabına geçmesi için satıcının Business veya Premier olması gerekmektedir."
"Time of Day","Günün saati"
"Transaction ID","İşlem No"
"Transaction Information","İşlem Bilgisi"
"Transfer Cart Line Items","Sepetteki ürün bilgisini gönder"
"Transfer Shipping Options","Teslimat bilgilerini gönder"
"Triggered Fraud Filters","Tetiklenen Sahtekarlık Koruması"
"Unable to cancel Express Checkout.","Ekspres Ödeme işlemi iptal edilemez."
"Unable to change status. Current status is not correspond to real status.","Durum değiştirilemiyor. Mevcut durum ile gerçek durum uyumlu değil."
"Unable to communicate with the PayPal gateway.","Paypal sunucusu ile iletişimde sorun var."
"Unable to initialize Express Checkout review.","Ekspres Ödeme  incelemesi açılamadı."
"Unable to initialize Express Checkout.","Ekspres Ödeme başlatılamadı."
"Unable to place the order.","Sipariş kaydedilemedi."
"Unable to process Express Checkout approval.","Hızlı ödeme onay işlemi yapılamadı."
"Unable to start Express Checkout.","Ekspres Ödeme işlemi başlatılamadı."
"Unable to update shipping method.","Teslimat yöntemi güncellenemedi."
"Unknown reason. Please contact PayPal customer service.","Bilinmeyen sebep. Lütfen Paypal Müşteri Destek bölümüyle görüşünüz."
"Use colon to specify port. For example: ""test.example.com:5224"".","Port belirtmek için iki nokta kullanın. Örnek: ""test.example.com:5224""."
"User","Kullanıcı"
"User-initiated Currency Conversion","Kullanıcı tarafından başlatılan Döviz Çevrimi"
"Uses store frontend name by default.","Varsayılan olarak mağaza adını kullanır."
"Vendor","Satıcı"
"View","Göster"
"View Demo","Demo Göster"
"View PayPal solutions.","Paypal çözümlerini göster."
"View Transaction","İşlemi Göster"
"View Transaction Details","İşlem Sonucunu Göster"
"Virtual PayPal Debit Card Transaction","Sanal Paypal Ödeme Kartı İşlemi"
"Virtual Terminal Payment","Sanal Terminal Ödemesi"
"Void","İptal"
"We prefer PayPal (150 X 40)","Paypal Kullanıyoruz (150 X 40)"
"We prefer PayPal (150 X 60)","Paypal Kullanıyoruz (150 X 60)"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Website Payments Pro (Payflow Sürümü) Ayarları"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro (Payflow Sürümü) (Ekspres Ödemeyi de içerir)"
"Website Payments Pro Settings","Website Payments Pro Ayarları"
"Website Payments Standard Payment","Website Payments Standard Ödemesi"
"Website Payments Standard Settings","Website Payments Standard Ayarları"
"What is PayPal?","Paypal Nedir?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Eğer aktif ödeme sözleşmes yoksa, yeni sözleşme oluşturunuz."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Sadece, en az bir ödeme sözleşmesi olan müşteriler için bir ödeme seçeneği olarak görünecektir."
"WorldLink Withdrawal","WorldLink Ödeme Alma"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","PayPal ile ödemeleri daha kolaylaştırmak için bir ödeme sözleşmesi imzalamak ister misiniz?"
"Wrong PayPal Express Checkout Token specified.","Hatalı PayPal Express Checkout anahtar verisi."
"Yes","Evet"
"Yes. Matched Address and five-didgit ZIP","Evet. Adres ve 5 haneli posta kodu eşleşti"
"You will be redirected to the PayPal website in a few seconds.","Birkaç saniye içinde PayPal sistemine yönlendirileceksiniz."
"You will be redirected to the PayPal website when you place an order.","Siparişinizi tamamlamak için PayPal sitesine yönlendirileceksiniz."
"You will be redirected to the PayPal website.","PayPal sistemine yönlendirileceksiniz."
"eBay Auction Payment","eBay Açık Artırma Ödemesi"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"API Authentication Methods","API Doğrulama Yöntemleri"
"API Certificate","API Sertifikası"
"Can not send new order email.","Yeni sipariş e-maili gönderilemiyor."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Eğer 10 taneden fazla teslimat seçeneği varsa PayPal bunların 10 taneden sonrasını kabul etmeyecektir. Magento bu seçeneklerden en ucuz 10 tanesini gönderecektir."
"Pay Now","Hemen Öde"
"PayPal certificate does not exist.","PayPal sertifikası bulunamadı."
"PayPal certificate file is empty.","PayPal sertifika dosyası boş."
"PayPal response hasn't required fields.","PayPal cevabında gereken alanlar bulunamadı."
"Payflow Link (for USA and Canada)","Payflow Bağlantısı (Sadece A.B.D. ve Kanada için)"
"Payflow Link Settings","Payflow Bağlantı Ayarları"
"Payment has been declined. Please try again.","Ödeme kabul edilemedi. Lütfen tekrar deneyiniz."
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Kredi kartı ve Satıcı Koruması ile yapılan ödeme - <strong style=""color:red"">Aktifleştirmeden önce PayPal ile iletişime geçiniz</strong>"
"Please do not refresh the page until you complete payment.","Lütfen ödeme işlemi tamamlanana kadar sayfayı yenilemeyiniz."
"Quick set-up service lets your customers securely complete transactions.","Hızlı kurulum hizmeti sayesinde müşterileriniz işlemlerini güvenle tamamlar."
"There was an error processing your order. Please contact us or try again later.","Siparişiniz işlenirken hata oluştu. Lütfen bizimle irtibata geçiniz veya daha sonra tekrar deneyiniz."
"Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))","Website Payments Pro Barındırılan Çözüm (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))"
"Website Payments Pro Hosted Solution Settings","Website Payments Pro Barındırılan Çözüm Ayarları"
"You will be required to enter your payment details after you place an order.","Siparişiniz kaydedildikten sonra ödeme detaylarını girmeniz gerekecektir."
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.1.0 2011-05-10 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Centinel Custom API URL","Centinel Özel API Adresi"
"Integral Evolution","Integral Evolution"
"Integral Evolution Settings","Integral Evolution Ayarları"
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","Pasarela integral Ayarları"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","PayPal Pro Ayarları"
"Website Payments Plus","Website Payments Plus"
"Website Payments Plus Settings","Website Payments Plus Ayarları"
"Website Payments Pro Hosted Solution","Website Payments Pro Barındırılan Çözüm"
"--------------- v 1.5.1.0 2011-05-10 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Authorization Honor Period (days)","Doğrulama güven süresi (gün)"
"Authorized amount of %s.","Doğrulanan ödeme %s."
"Authorizing amount of %s is pending approval on gateway.","Doğrulanan ödeme %s ödeme sağlayıcısından onay bekliyor."
"Buyer\'s Tax ID","Alıcının Vergi Numarası"
"Buyer\'s Tax ID Type","Alıcının Vergi Numarası Tipi"
"CNPJ","CNPJ"
"CPF","CPF"
"Number of Child Authorizations","Alt Doğrulama Sayısı"
"Order Valid Period (days)","Sipariş Geçerlilik Süresi (gün)"
"Ordered amount of %s.","Sipariş toplamı %s."
"Ordering amount of %s is pending approval on gateway.","Sipariş toplamı %s ödeme sağlayıcısından onay bekliyor."
"Please agree to all the terms and conditions before placing the order.","Siparişi tamamlamadan önce kullanım koşullarını kabul etmeniz gerekiyor."
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Satıcının Paypal hesabındaki Güven Süresinin ne olduğunu belirtir. Paypal hesabındaki ayarla aynı olmalıdır."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Siparişin Geçerlilik Süresinin ne olduğunu belirtir. Paypal hesabındaki ayarla aynı olmalıdır."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Alt doğrulama işlemi sayısı için varsayılan değer. Bu değer PayPal sisteminde varsayılan olarak 1 dir. Bu değeri artırarak aynı anda 1 den fazla doğrulama işlemi yapabilmek istiyorsanız PayPal ile iletişim kurun."
"The maximum number of child authorizations is reached.","Alt doğrulama işlemi limiti aşıldı."
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-11-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"$0 Auth","$0 Onay"
"$1 Auth","$1 Onay"
"Full Auth","Tam Onay"
"Invalid Amount","Hatalı Toplam"
"Loading payment information...","Ödeme bilgisi yükleniyor..."
"Payment transactions disallow storing objects.","Ödeme işlemleri nesneleri kaydetmeye izin vermiyor."
"This operation requires an existing transaction object.","Bu işlem için varolan bir ödeme işlemi gerekiyor."
"Transaction ID must not be empty.","İşlem No alanı boş olamaz."
"Vendor / Merchant Login","Üretici / Tüccar Girişi"
"Verification Authorization Amount","Onaylanacak Toplam"
"Wrong configuration of Payment Method","Ödeme Yöntemi için hatalı ayar"
"You cannot void a verification transaction","Onaylama işlemini iptal edemezsiniz"
"--------------- v 1.6.0.0-rc2 2011-11-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.2.0 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.  Includes a merchant account from PayPal.","Paypal kullanın, çünkü PCI uyumlu bir ödeme yöntemiyle ödeme kabul etmek müşterlerinize güven verir. PayPal tüccar hesabı içerir."
"Accept payments with a PCI-compliant checkout that keeps customers on your site. For use with your own merchant account.","Paypal kullanın, çünkü PCI uyumlu bir ödeme yöntemiyle ödeme kabul etmek müşterlerinize güven verir. Mevcut Paypal Tüccar hesabınızla kullanmak için."
"PayPal Payments Advanced","PayPal Gelişmiş"
"Server Error. Please try again.","Sunucu hatası. Lütfen tekrar deneyiniz."
"Unknown Error. Please try again later.","Bilinmeyen bir hata oluştu. Lütfen tekrar deneyiniz."
"--------------- v 1.6.2.0 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Address","Adres"
"City","İlçe"
"Click here if you are not redirected within 10 seconds...","Eğer 10 saniye içinde yönlendirilmezseniz buraya tıklayınız..."
"Company","Şirket"
"Country","Ülke"
"Customer Information","Müşteri Bilgisi"
"Display Express Checkout in the Payment Information step","Ödeme Bilgisi aşamasında Express Ödemeyi göster"
"Email Address","Email Adresi"
"Fax","Faks"
"For Virtual Quotes Only","Sadece Sanal Sepetler İçin"
"Please select region, state or province","Lütfen Bölge/Şehir/İlçe seçiniz"
"Please update order data to get shipping methods and rates","Teslimat yöntemleri ve fiyatlarının belirlenebilmesi için sipariş bilgilerini tamamlayınız"
"Require Customer's Billing Address","Müşteri Fatura Adresi zorunlu olsun"
"Same as shipping","Teslimat adresi ile aynı"
"State/Province","Bölge/Şehir"
"Street Address","Adres"
"Street Address %s","Adres %s"
"Telephone","Telefon"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Bu özelliğin öncelikle Paypal teknik servisi tarafından bu satıcı için açılması gerekmektedir."
"Unable to update Order data.","Sipariş verisi güncellenemedi."
"Update Order Data","Sipariş Verisini Güncelle"
"VAT Number","Vergi Numarası"
"Zip/Postal Code","Posta Kodu"
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.1 2012-06-25 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Accept credit card and PayPal payments securely.","Accept credit card and PayPal payments securely."
"Accept credit cards, debit cards and PayPal payments securely.","Accept credit cards, debit cards and PayPal payments securely."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accept payments with a PCI compliant checkout that keeps customers on your site."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Accept payments with a completely customizable checkout page.","Accept payments with a completely customizable checkout page."
"Accept payments with a completely customizable checkout.","Accept payments with a completely customizable checkout."
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Add PayPal as an additional payment method to your checkout page to increase your sales."
"Add PayPal as an additional payment method to your checkout page.","Add PayPal as an additional payment method to your checkout page."
"Add another payment method to your existing solution or as a stand-alone option.","Add another payment method to your existing solution or as a stand-alone option."
"Advanced Settings","Advanced Settings"
"Basic Settings - PayPal Express Checkout","Temel Ayarlar - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Temel Ayarlar - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Temel Ayarlar - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Temel Ayarlar - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Temel Ayarlar - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Temel Ayarlar - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Temel Ayarlar - PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Temel Ayarlar - PayPal Payments Pro Hosted Solution"
"Basic Settings - PayPal Payments Standard","Temel Ayarlar - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Temel Ayarlar - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Temel Ayarlar - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Temel Ayarlar - PayPal Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Temel Ayarlar - PayPal Website Payments Pro Hosted Solution"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Temel Ayarlar - PayPal Website Payments Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Temel Ayarlar - PayPal Website Payments Standard"
"Billing Agreement Signup","Billing Agreement Signup"
"Both section above must be complete. ","Both section above must be complete. "
"CVV Entry is Editable","CVV Entry is Editable"
"Choose a secure bundled payment solution for your business.","Choose a secure bundled payment solution for your business."
"Close","Close"
"Configure","Configure"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site."
"Continue","Continue"
"Email Associated with PayPal Merchant Account (Optional)","Email Associated with PayPal Merchant Account (Optional)"
"Enable Express Checkout","Enable Express Checkout"
"Enable Payflow Link","Enable Payflow Link"
"Enable SSL verification","Enable SSL verification"
"Enable this Solution","Enable this Solution"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here."
"Merchant Location","Merchant Location"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more."
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"PayPal Billing Agreement Settings","PayPal Billing Agreement Settings"
"PayPal Express Checkout is not enabled.","PayPal Express Checkout is not enabled."
"PayPal Payment Gateways","PayPal Payment Gateways"
"PayPal Payment Solutions","PayPal Payment Solutions"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recommends that you set up an additional User on your account at manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here."
"Payflow Link","Payflow Link"
"Payflow Link (Includes Express Checkout)","Payflow Link (Includes Express Checkout)"
"Payflow Pro","Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Includes Express Checkout)"
"Payflow Pro and Express Checkout","Payflow Pro and Express Checkout"
"Payments Advanced","Payments Advanced"
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Includes Express Checkout)"
"Payments Pro (Includes Express Checkout)","Payments Pro (Includes Express Checkout)"
"Payments Pro Hosted Solution","Payments Pro Hosted Solution"
"Payments Pro and Express Checkout","Payments Pro and Express Checkout"
"Payments Standard","Payments Standard"
"Please re-enable the previously enabled payment solutions.","Please re-enable the previously enabled payment solutions."
"Pro","Pro"
"Process payments using your own internet merchant account.","Process payments using your own internet merchant account."
"Required PayPal Settings","Required PayPal Settings"
"Required Settings","Required Settings"
"Select a Payment Solution","Select a Payment Solution"
"Send Email Confirmation","Send Email Confirmation"
"Some PayPal solutions conflict.","Some PayPal solutions conflict."
"The following error(s) occured:","The following error(s) occured:"
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"URL method for Cancel URL and Return URL","URL method for Cancel URL and Return URL"
"Website Payments Pro (Includes Express Checkout)","Website Payments Pro (Includes Express Checkout)"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","Website Payments Pro Hosted Solution (Includes Express Checkout)"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution and Express Checkout"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Website Payments Pro Payflow Edition (Includes Express Checkout)"
"Website Payments Pro Payflow Edition and Express Checkout","Website Payments Pro Payflow Edition and Express Checkout"
"Website Payments Pro and Express Checkout","Website Payments Pro and Express Checkout"
"--------------- v 1.7.0.1 2012-06-25 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
