"# of Use","# Kullanımda"
"Length of text is too long","Yazı boyutu çok uzun"
"Link (Related, Up sell, Cross sell)","Bağlantı (İlişkili, Üst Satış, Çapraz Satış)"
"Link product not exists.","Bağlantılı ürün bulunamadı."
"Manage Stock","Stok Yönetimi"
"Max Characters","En fazla karakter"
"Maximal Depth","En yüksek derinlik"
"Maximum number of characters","En fazla karakter"
"Minimum Qty for Item\'s Status to be Out of Stock","Ürünün stokta yok gözükmesi için gerekli adet"
"Move","Taşı"
"Move category in tree","Kategoriyi ağaç içinde taşı"
"Please add rows to option.","Seçeneğe satır ekle."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Lütfen dikkatli olunuz. Bu satıra bir kere tıkladığınızda seçili dosyadan veriler yüklenecek, kaydedilmemiş verileriniz kaybolacaktır."
"Please click on Close Window button if it won\'t be closed automatically","Eğer pencere otomatik kapanmazsa Pencereyi Kapat butonuna basınız"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Lütfen ""Katalog Adres Yeniden Yazımı"" ve ""Katmanlı Gezinme İndisleri"" ni yenilemek için Sistem -> <a href=""%s"">Önbellek Yönetimi</a> bölümüne giriniz"
"Please select  items","Lütfen ürün seçiniz"
"Please specify the product option(s)","Lütfen ürün seçeneklerini seçiniz"
"Please specify the product required option(s)","Lütfen gerekli olan ürün seçeneklerini seçiniz"
"Please specify the product(s) quantity","Lütfen ürün adedini belirtiniz"
"Price Type","Fiyat Tipi"
"Product","Ürün"
"Product API","Ürün API si"
"Product Images","Ürün Resimleri"
"Product Images API","Ürün Resimleri API si"
"Product Info Column","Ürün bilgisi kolonu"
"Product Tier Price API","Ürün kanal fiyatı API si"
"Product URL Suffix","Ürün Adresi Soneki"
"Product attribute sets API","Ürün özellik setleri API si"
"Product attributes API","Ürün özellikleri API si"
"Product has required options","Ürün için seçenekleri seçmelisiniz"
"Product links API (related, cross sells, up sells)","Ürün Bağlantıları API si (ilişkili, çapraz satış, üst satış)"
"Product saving error. ","Ürün kaydedilirken hata oluştu. "
"Product types API","Ürün Tipleri API si"
"Products per Page on List allowed values","Liste Görünümünde sayfa başı ürün sayısı değerleri"
"Products per page on Grid allowed values","Izgara Görünümünde sayfa başı ürün sayısı değerleri"
"Qty for Item\'s Status to become Out of Stock","Ürünün Stokta Yok olarak gözükmesi için gereken adet"
"Remove product assignment","Ürün atamasını kaldır"
"Remove product image","Ürün resmini sil"
"Remove product link","Ürün bağlantısını sil"
"Retrieve attribute data","Özellik verisi al"
"Retrieve attribute list","Özellik listesi al"
"Retrieve attribute options","Özellik seçeneklerini al"
"Retrieve categories tree","Kategori ağacını al"
"Retrieve category attributes","Kategori özelliklerini al"
"Retrieve category data","Kategori verisini al"
"Retrieve hierarchical tree","Hiyerarşik ağacı al"
"Retrieve linked products","Bağlantılı ürünleri al"
"Retrieve list of assigned products","Atanmış ürünlerin listesini al"
"Retrieve one level of categories by website/store view/parent category","Kategorilerin bir seviyesini, web sitesine/mağaza görünümüne/üst kategoriye göre al"
"Retrieve product","Ürün bilgisi oku"
"Retrieve product attribute sets","Ürün özellik setlerini al"
"Retrieve product image","Ürün resmini al"
"Retrieve product image list","Ürün resim listesini al"
"Retrieve product image types","Ürün resim tiplerini al"
"Retrieve product link type attributes","Ürün bağlantı tipi özelliklerini al"
"Retrieve product link types","Ürün bağlantı tipilerini al"
"Retrieve product tier prices","Ürün kanal fiyatlarını al"
"Retrieve product types","Ürün tiplerini al"
"Retrieve products data","Ürün verisini al"
"Retrieve products list by filters","Ürün listesini filtreleyerek al"
"Select type of option","Seçenek tipi seçiniz"
"Select type options required values rows.","Seçenek tipi için gerekli değerleri seçiniz."
"Selected configuration is not available.","Seçtiğiniz ayar seti bulunamadı."
"Set special price","Özel fiyat belirle"
"Set/Get current store view","Mevcut mağaza görünümünü Göster/Düzenle"
"Show Details","Detayları Göster"
"Show Tags","Etiketleri Göster"
"Tax","Vergi"
"There was an error while cleared compare list","Karşılaştırma listesi silinirken hata oluştu"
"There was an error while updating product(s) status","Ürünlerin durumları güncellenirken hata oluştu"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Bu gruptaki bazı özellikler bazı ayarlanabilir ürünlerde kullanıldı. Bu özellikleri başka gruba kaydırarak tekrar deneyiniz."
"Time","Saat"
"Title","Başlık"
"Total Qty Base Items","Temel Ürün Adedi"
"Total incl. Tax: %1$s","Vergi Dahil Toplam: %1$s"
"Update","Güncelle"
"Update Attributes","Özellikleri Güncelle"
"Update Tier Price","Kanal Fiyatını Güncelle"
"Update assigned product","Bağlı Ürünü Güncelle"
"Update category","Kategoriyi Güncelle"
"Update product","Ürünü Güncelle"
"Update product image","Ürün resmini Güncelle"
"Update product link","Ürün bağlantısını Güncelle"
"Update product tier prices","Ürün kanal fiyatlarını Güncelle"
"Upload new product image ","Yeni ürün resmi yükle"
"Url rewrie save problem.","Adres Yeniden Yazımı kaydedilirken hata oluştu."
"Use In Search Results Layered Navigation","Arama Sonuçları Katmanlı Gezinme alanında kullan"
"Virtual Product","Sanal Ürün/Hizmet"
"We Also Recommend","Bunları da tavsiye ediyoruz"
"cache refresh needed","önbellek yenilemesi gerekiyor"
"categories","kategoriler"
"comma separated","virgülle ayrılmış"
"each","her"
"must be in the allowed values list","kabul edilebilir ürünler değerlerden biri olmalı"
"products","ürünler"
"save","karlı çık"
"--------------- v 1.3 2009-04-01 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Attribute group with the ""/name/"" name already exists","""/name/"" adında bir özellik grubu zaten var"
"Can't create image.","Resim Oluşturulamıyor."
"Qty for Item's Status to become Out of Stock","Ürünün Stokta Yok gözükmesi için gerekli adet"
"--------------- v 1.3 2009-04-01 SONU --------------------","////////////////////////////////////////////////////////////////////////""--------------- v 1.3 2009-08-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Allowed File Extensions","İzin Verilen Dosya Uzantıları"
"Allowed file extensions to upload","Dosya Yüklemede Izin Verilen Dosya Uzantıları"
"AM","ÖÖ"
"Amount","Toplam"
"Cannot create writeable directory '%s'","Yazdırılabilir klasör oluşturulamadı '%s'"
"Date & Time Custom Options","Tarih & Saat Seçenekleri"
"Date fields order","Tarih alanları sıralaması"
"Depends on design theme","Temaya göre değişir"
"File options format is not valid","Dosya seçenekleri biçimi hatalı"
"File upload failed","Dosya yüklemede hata oluştu"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Düz Katalog modülü filtrelenebilir ve/veya sıralanabilir özellikler konusunda %2$d limitine sahiptir. Mevcut değer : %1$d. Bu modülü kullanabilmek için bu değeri düşürmeyi deneyiniz."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Bir mağaza için özel bir değer belirlemezseniz varsayılan değer uygulanacaktır."
"Invalid attribute %s","Hatalı özellik %s"
"leave blank if its not an image","eğer resim değilse boş bırakınız"
"Maximum image height","En Yüksek Resim Boyu"
"Maximum Image Size","En Yüksek Resim Boyutu"
"Maximum image width","En Yüksek Resim Eni"
"Minimum Lines Per Page","Sayfa Başı En Az Satır Sayısı"
"Option validation failed to add product to cart","Ürün sepete eklenirken Seçenek Doğrulaması yapılamadı"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Müşteri destek sistemimize ulaşmak için iletişim sayfamıza bakınız."
"Please set up merge date/time .","Lütfen birleştirme tarihini belirleyiniz."
"Please specify date required option(s)","Lütfen, Tarih verisi giriniz"
"Please specify time required option(s)","Lütfen, Saat verisi giriniz"
"Please, use four-digit year format","Lütfen 4 haneli yıl değeri giriniz"
"PM","ÖS"
"Product listing sort by","Ürün listesi sıralama şekli"
"px.","pix."
"Sitemap","SiteHaritası"
"This is a required option","Bu seçenek zorunludur"
"Time format","Saat Biçimi"
"Use Flat Catalog Category","Kategorilerde Düz Katalog Kullan"
"Use Flat Catalog Product","Ürünlerde Düz Katalog Kullan"
"Use JavaScript Calendar","JavaScript Takvim Kullan"
"Use Tree Like Category Sitemap","Ağaç Tipi Kategori Site Haritası Kullan"
"Used for sorting in product listing","Ürün listesi sıralamasında kullanılan"
"Used in product listing","Ürün listelemede kullanılan"
"Visible on Product View Page on Front-end","Site önyüzünde Ürün Görünümü sayfalarında görünür"
"Web Site Item Must be checked","Site Kaydı seçilmelidir"
"Web Site Store Must be checked","Site Mağazası Kaydı seçilmelidir"
"Wrong BuyRequest instance in options group","Seçenek Grubunda Hatalı Satınalma İsteği Örneği."
"Wrong option instance type in options group","Seçenek Grubunda Hatalı Seçenek Örneği."
"Wrong option type to get group instance.","Grup örneği alınırken Hatalı Seçenek Tipi."
"Wrong product instance type in options group","Seçenek Grubunda Hatalı Ürün Örneği."
"Wrong quote item instance in options group","Seçenek Grubunda Hatalı Liste Kaydı Örneği."
"Wrong quote item option instance in options group","Seçenek Grubunda Hatalı Liste Kaydı Seçeneği Örneği"
"x","x"
"Year Range","Yıl Aralığı"
"--------------- v 1.3 2009-08-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"(%d)","(%d)"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Eğer boş bırakırsanız varsayılan değer 86400 olacaktır. Hemen tazelemek istiyorsanız Bloklar için Önbellek özelliğini iptal edebilirsiniz."
"Alert Urls","Alarm Adresleri"
"All Websites","Tüm Siteler"
"Allow All Products per Page","Her sayfada 'Tüm Ürünler' bağlantısını göster"
"Anchor Custom Text","Bağlantı Yazısı"
"Anchor Custom Title","Bağlantı Başlığı"
"Attribute ""%s"" is required","""%s"" adlı özelliğin doldurulması zorunludur"
"Attribute Set no longer exists.","Özellik Seti bulunamıyor."
"Attribute Set successfully saved.","Özellik Seti kaydedildi."
"Availability:","Stok Durumu :"
"Bottom Block Options Wrapper","Alt Blok Seçenek Kutusu"
"Cache Lifetime (Seconds)","Önbellek Süresi (Saniye)"
"Catalog Category (Anchor)","Katalog Kategorisi (Bağlantı)"
"Catalog Category (Non-Anchor)","Katalog Kategorisi (Bağlantı olmayan)"
"Catalog Category (Without Subcategories)","Katalog Kategorisi (Alt Kategorisi olmayan)"
"Catalog Category Link","Katalog Kategorisi Bağlantısı"
"Catalog New Products List","Katalog Yeni Ürünler Listesi"
"Catalog Product Compare List","Katalog Karşılaştırılan Ürünler Listesi"
"Catalog Product Email to a Friend","Katalog Ürünü Arkadaşına Tavsiye Et"
"Catalog Product Image Gallery Popup","Katalog Ürün Resim Galerisi Kutusu"
"Catalog Product Link","Katalog Ürün Bağlantısı"
"Catalog Product View (Any)","Katalog Ürün Detayı (Herhangi Bir Ürün Tipi)"
"Catalog Product View (Configurable)","Katalog Ürün Detayı(Ayarlanabilir Ürün)"
"Catalog Product View (Grouped)","Katalog Ürün Detayı(Grup Ürün)"
"Catalog Product View (Simple)","Katalog Ürün Detayı(Basit Ürün)"
"Catalog Product View (Virtual)","Katalog Ürün Detayı(Sanal Ürün)"
"Catalog Seo Popular Search Terms","Katalog Seo Popüler Arama Kelimeleri"
"Catalog Seo Sitemap (Category List)","Katalog Seo Site Haritası  (Kategori Listesi)"
"Catalog Seo Sitemap (Category Tree)","Katalog Seo Site Haritası  (Kategori Ağacı)"
"Catalog Seo Sitemap (Common)","Katalog Seo Site Haritası  (Genel)"
"Catalog Seo Sitemap (Product List)","Katalog Seo Site Haritası  (Ürün Listesi)"
"Catalog Url Rewrites","Katalog Url Yeniden Yazımı"
"Category Flat Data","Kategori Flat Tablosu "
"Category Link Block Template","Kategori Bağlantısı Blok Şablonu"
"Category Link Inline Template","Kategori Bağlantısı İç Şablonu"
"Category move operation is not possible: new parent category not found.","Kategori taşıma işlemi yapılamıyor : üst kategori bulunamadı."
"Center","Merkez"
"Compare","Karşılaştır"
"Duplicate amount found.","Aynı toplam rakamından bir tane daha bulundu."
"Edit Set Name","Set Adını Düzenle"
"Email template is not specified by administrator","Yönetici tarafından bir e-mail şablonu belirlenmedi"
"Email to %s was not sent","%s alıcısına gönderilmek istenen mail gönderilemedi"
"Enable WYSIWYG","WYSIWYG Editörü Aç"
"Error while saving Attribute Set.","Özellik Seti kaydedilirken sorun oluştu."
"Error while saving search query. Please try again later.","Arama kelimesi kaydedilirken sorun oluştu. Lütfen daha sonra tekrar deneyiniz."
"Field is not complete","Alan doldurulmadı"
"Flat Catalog module has a limit of %2\$d filterable and/or sort able attributes. Currently there are %1\$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Düz Katalog modülü en fazla %2\$d adet filtrelenebilir/sıralanabilir özellik alabilir. Şu an %1\$d adet var. Bu modülde kullanılabilecek filtrelenebilir/sıralanabilir özellik sayısını düşürünüz."
"How many Links to display at once","Bir seferde gösterilebilecek bağlantı sayısı"
"If empty, the Product Name will be used","Boş bırakırsanız ürün adı kullanılır"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Eğer Çerçeve konumu azami sayfa göstermek için yeterli değilse bu değeri art veya eksi yönde değiştirebilirsiniz"
"Index product and categories url rewrites","Ürün ve katalog için adres yeniden yazımını indeksle"
"Index product attributes for layered navigation building","Katmanlı Gezinme için ürün özelliklerini indeksle"
"Index product prices","Ürün fiyatlarını indeksle"
"Indexed category/products association","Kategori/Ürün eşleşmesi indekslendi"
"Info Column Options Wrapper","Bilgi Kolonu Seçenek Çerçevesi"
"Invalid tier prices. Product is not associated to the requested website.","Kanal fiyatlarında hata. Ürün belirlenen web sitesi ile ilişkilendirilmemiş."
"Invalid transactional email code","Hatalı e-mail kodu"
"Link to a Specified Category","Belirlenen kategoriyle ilişkilendir"
"Link to a Specified Product","Belirlenen ürünle ilişkilendir"
"List of Products that are set as New","Yeni olarak işaretlenecek ürün listesi"
"Maximum number of characters:","İzin verilen en fazla karakter sayısı :"
"New Products Grid Template","Yeni Ürünler Izgara Görünümü"
"New Products List Template","Yeni Ürünler Liste Görünümü"
"Not Visible Individually","Görünmez"
"Not defined Product Type for Indexer","İndeksleyici için Ürün Tipi belirtilmedi"
"Number of Products to Display","Gösterilecek Ürün Sayısı"
"Pagination Frame","Sayfalama Çerçevesi"
"Pagination Frame Skip","Sayfalama Çerçevesi Atla"
"Please set up merge date/time","Lütfen birleştirme tarih/saat seçimi yapınız"
"Please set up merge date/time later then present date","Lütfen birleştirme için şu andan daha ilerde bir tarih/saat seçimi yapınız"
"Price is not available","Fiyat Bulunamadı"
"Product Flat Data","Ürün için Düz Katalog Verisi"
"Product Link Block Template","Ürün Bağlantısı Blok Teması"
"Product Link Inline Template","Ürün Bağlantısı İç Teması"
"Product Prices","Ürün Fiyatları"
"Qty:","Adet:"
"Reorganize EAV category structure to flat structure","EAV Kategori yapısını düz veritabanına çevir"
"Reorganize EAV product structure to flat structure","EAV Ürün yapısını düz veritabanına çevir"
"Review was deleted successfully","Yorum silindi"
"Review was removed by another user or does not exists","Yorum başka bir kullanıcı tarafından silindi veya bulunamadı"
"Select Category...","Kategori Seç..."
"Select Product...","Ürün Seç..."
"Some of the products below don\'t have all the required options. Please remove them and add again with all the required options.","Aşağıdaki ürünlerde biri ( veya birkaçı ) gereken seçeneklerden tamamına sahip değil. Lütfen bu ürünleri kaldırıp tekrar ekleyiniz."
"Template","Şablon"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Bu özellik ayarlanabilir ürünlerde kullanıldı. Bu özelliği setten çıkaramazsınız."
"URL Rewrite Management","Adres Yeniden Yazım Yönetimi"
"URL rewrite save problem.","Adres Yeniden Yazımı kaydedilirken sorun oluştu."
"Unknown eav indexer type ""%s""","Bilinmeyen eav indeksleyici tipi ""%s"""
"Unsupported product type ""%s""","Desteklenmeyen ürün tipi ""%s"""
"Use default","Varsayılanı kullan"
"Use for Price Rule Conditions","Fiyat Kurallarında Kullan"
"WYSIWYG Editor","WYSIWYG Editör"
"Watermark Opacity, Percent","Kopya Koruması saydamlık yüzdesi"
"Website Item Must be checked","Websitesi kaydı seçilmeli"
"Website Store Must be checked","Websitesi Mağazası seçilmeli"
"Wrong product type filter specified","Hayalı ürün tip filtresi belirtildi"
"You cannot email this product to a friend","Bu ürün için arkadaşına gönder fonksiyonu geçersiz"
"You cannot send more than %d emails at a time","Bir seferde %d adetten fazla e-mail gönderemezsiniz"
"You have exceeded limit of %d sends in an hour","Bir saatte %d adetten fazla e-mail gönderemezsiniz"
"You have to specify at least one recipient","En az bir alıcı belirlemelisiniz"
"whether to show ""All"" option in the ""Show X Per Page"" dropdown"," ""Sayfa Başı Ürün Sayısı"" seçenklerinde ""Hepsi"" seçeneği de gözüksün"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.1 2010-06-21 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Description","Açıklama"
"Short Description","Kısa Açıklama"
"Tax Class","Vergi Sınıfı"
"--------------- v 1.4.1 2010-06-21 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"A group with the same name already exists.","Aynı adda bir grup zaten var."
"A product type is not defined for the indexer.","İndeksçi için bir ürün tipi belirlenmedi."
"Allow Dynamic Media URLs in Products and Categories","Ürün ve Kategoriler için dinamik medya URL'lerine izin ver"
"Allow HTML Tags on Frontend","Ön sayfada HTML etiketlerine izin ver"
"An error occurred while adding customers for the %s alert. Message: %s","%s Alarma müşteri eklenirken hata oluştu. Mesaj : %s"
"An error occurred while adding products to websites.","Websitelerine ürünler eklenirken hata oluştu."
"An error occurred while clearing comparison list.","Karşılaştırma listesi temizlenirken hata oluştu."
"An error occurred while removing products from websites.","Web Sitelerinden ürün silerken hata oluştu."
"An error occurred while saving the URL rewrite.","Adres yeniden yazımı verisi kaydedilirken hata oluştu."
"An error occurred while saving the attribute set.","Özellik seti kaydedilirken hata oluştu."
"An error occurred while saving the collection, aborting. Error message: %s","Koleksiyon kaydedilirken hata oluştu, işleme son veriliyor. Hata mesajı : %s"
"An error occurred while saving the product. ","Ürün kaydedilirken hata oluştu. "
"An error occurred while saving the search query.","Arama kelimesi kaydedilirken hata oluştu."
"An error occurred while saving this group.","Bu grup kaydedilirken hata oluştu."
"An error occurred while trying to delete the category.","Kategori silinirken hata oluştu."
"An error occurred while updating the product(s) attributes.","Ürünlerin özellikleri güncellenirken hata oluştu."
"An error occurred while updating the product(s) status.","Ürünlerin durumu güncellenirken hata oluştu."
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s) için hatalı seçenek no belirlendi, kayıt atlanıyor."
"An invalid store was specified.","Hatalı mağaza seçimi yapıldı."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Sadece katalog ürünlerine ve kategorilerine etkilidir. Medya içerikleri editöre statik bir URL olarak girilir. Mağaza adresi değiştiğinde bu adresler değişmeyecektir."
"Attribute ""%s"" is invalid.","Özellik ""%s"" hatalı."
"Attribute ""%s"" is required.","Özellik ""%s"" gerekli."
"Cache refresh needed.","Önbelleğin tazelenmesi gerekiyor."
"Cannot create image.","Resim oluşturulamadı."
"Cannot create writeable directory '%s'.","'%s' klasörü yazdırılabilir olarak oluşturulamadı."
"Catalog URL Rewrites","Katalog Adres Yeniden Yazımı"
"Category move operation is not possible: the new parent category was not found.","Kategori taşıma işlemi mümkün değil : Yeni üst kategori bulunamadı."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategori Mage_Catalog_Model_Category modelinin örneği olmalı."
"Comma-separated.","Virgülle ayrılmış."
"Comparable on the Frontend","Ön Sayfada Karşılaştırılabilir"
"Create Permanent Redirect for old URL","Eski adres için yönlendirme kaydı ekle"
"Create Permanent Redirect for old URLs if Url key changed","URL anahtarı değişince eski url için bir yönlendirme kaydı ekle"
"Currently Shopping by:","Mevcut Alışveriş :"
"Customers for alert %s were successfuly added to queue","%s alarmı için müşteriler listeye eklendi"
"Date Fields Order","Tarih Alanları Sıralaması"
"Default Price","Varsayılan Fiyat"
"Default Price Navigation Step","Ana Fiyat Gezinme Adımı"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ana para birimi havuzunu ayarlar (""Para Birimleri"" > ""Para Birimi Seçenekleri"" > ""Ana para birimi"")."
"Details","Detaylar"
"Disallowed file type.","İzin verilmeyen dosya tipi."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Örnek: {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dinamik emir ayıklaması katalog performansını etkiler."
"Email to %s was not sent.","%s için hazırlanan e-mail gönderilemedi."
"Enable Qty Increments","Adet Artırımlarını Aç"
"File options format is not valid.","Dosya seçenekleri biçimi geçersiz."
"Filter model name must be declared.","Filtre model adı belirlenmelidir."
"Filter must be an object. Please set correct filter.","Filtre bir nesne olmalıdır. Lütfen geçerli bir filtre ayarlayınız."
"For internal use.","İç kullanım içindir."
"If empty, the Category Name will be used","Eğer boşsa, kategori adı kullanılır"
"Image does not exist.","Resim bulunamıyor."
"Image file was not found.","Resim dosyası bulunamadı."
"Index product and categories URL rewrites","Ürün ve Kategoriler için adres yeniden yazımı bilgisini indeksle"
"Invalid attribute %s.","Hatalı özellik %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","%s (%s) özelliği için hatalı özellik seçeneği seçildi, kayıt atlanıyor."
"Invalid attribute set specified, skipping the record.","Hatalı özellik seti belirtildi, kayıt atlanıyor."
"Invalid block: %s.","Hatalı blok : %s."
"Invalid category IDs.","Hatalı kategori numaraları."
"Invalid category.","Hatalı kategori."
"Invalid image file type.","Hatalı resim dosyası tipi."
"Invalid option ID specified for %s (%s), skipping the record.","%s (%s) için seçenek belirtildi, kayıt atlanıyor."
"Invalid product type specified, skipping the record.","Hatalı ürün tipi seçildi, kayıt atlanıyor."
"Invalid store specified, skipping the record.","Hatalı mağaza seçimi yapıldı, kayıt atlanıyor."
"Invalid tier prices. The product is not associated to the requested website.","Hatalı kanal fiyatı. Bu ürün istediğiniz mağaza ile ilişkili değil."
"Invalid transactional email code.","Hatalı e-mail kodu."
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Katalogda ve aramada görünmesini istemediğiniz ürünlerin durumu 'Pasif' olmalıdır."
"Keep your eyes open for our special Back to School items and save A LOT!","Gözünüzü açın kampanyaları yakalayın!"
"Layered Navigation","Katmanlı Gezinme"
"Link product does not exist.","Bağlı ürün bulunamıyor."
"Minimum Lines per Page","Sayfa başı en az satır sayısı"
"Missing SKU, skipping the record.","SKU ( Ürün Kodu ) bilgisi bulunamadı, kayıt atlanıyor."
"Must be in the allowed values list.","İzin verilen değerler listesinde olmalıdır."
"N/A","Yok"
"Name in %s","Adı %s"
"New Root Category","Yeni Kök Kategori"
"New Subcategory","Yeni Alt Kategori"
"No product collections found.","Hiç ürün koleksiyonu bulunamadı."
"Number of results<br/>(For the last time placed)","Dönen sonuç sayısı<br/>(Son oluşturulduğunda)"
"Option validation failed to add product to cart.","Ürün sepete eklenirken seçenek doğrulama hatası oldu."
"Please click on the Close Window button if it is not closed automatically.","Eğer otomatik kapanmazsa Pencereyi Kapat butonuna basınız."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Lütfen ""Katalog Adres Yeniden Yazımı"" ve ""Ürün Özellikleri"" indekslerini yenileyin ( Sistem -> <a href=""%s"">İndeks Yönetimi</a> )"
"Please select a static block ...","Lütfen bir statik blok seçiniz..."
"Please select items.","Lütfen kayıtları seçiniz."
"Please select product(s).","Lütfen ürünleri seçiniz."
"Please specify date required option(s).","Lütfen tarih seçeneklerini belirleyiniz."
"Please specify the product required option(s).","Lütfen üründe gerekli seçenekleri belirleyiniz."
"Please specify the product\'s option(s).","Lütfen ürün seçeneklerini belirleyiniz."
"Please specify the product's option(s).","Lütfen ürün seçeneklerini belirleyiniz."
"Please specify the product\'s required option(s).","Lütfen ürünün zorunlu seçeneklerini belirleyiniz."
"Please specify the product's required option(s).","Lütfen ürünün zorunlu seçeneklerini belirleyiniz."
"Please specify the quantity of product(s).","Lütfen ürün adedini belirleyiniz."
"Please specify time required option(s).","Lütfen zaman gereken seçenekleri belirleyiniz."
"Position in Layered Navigation","Katmanlı Gezinmedeki Pozisyonu"
"Price Navigation Step Calculation","Fiyat Gezinmesi Adım Hesaplaması"
"Price: %s","Fiyat : %s"
"Product Extra Info","Ekstra Ürün Bilgisi"
"Product Listing Sort by","Ürün Listeleme Sıralaması"
"Product View Extra Hint","Ürün Görünümü Ekstra İpucu"
"Product collection expected.","Ürün listesi bekleniyor."
"Products Comparison List","Ürün karşılaştırma listesi"
"Products per Page on Grid Allowed Values","Izgara Modunda İzin Verilen Sayfa Başı Ürün Sayısı"
"Products per Page on Grid Default Value","Izgara Modunda Varsayılan Sayfa Başı Ürün Sayısı"
"Products per Page on List Allowed Values","Liste Modunda İzin Verilen Sayfa Başı Ürün Sayısı"
"Products per Page on List Default Value","Liste Modunda Varsayılan Sayfa Başı Ürün Sayısı"
"Qty Increments","Adet Artırımları"
"Quantity","Adet"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Saved %d record(s)","%d adet kayıt kaydedildi."
"Search Term with such search query already exists.","Bu arama kelimesi zaten var."
"Set Root Category for Store","Mağaza için kök kategoriyi ayarlayınız"
"Shop By","Seçenek Daralt"
"Skip import row, required field ""%s"" for the new customer is not defined.","Satır verisi alımını atla, yeni müşteri için gerekli ""%s"" alanı boş."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Satır verisi alımını atla, ""%s"" değeri ""%s"" alanı için geçerli değil"
"Skipping import row, required field ""%s"" for new products is not defined.","Satır verisi alımı atlandı, yeni ürün için zorunlu alan olan ""%s"" ayarlanmadı."
"Skipping import row, required field ""%s"" is not defined.","Satır verisi alımı atlandı, zorunlu alan olan ""%s"" ayarlanmadı."
"Skipping import row, store ""%s"" field does not exist.","Satır verisi alımı atlandı, mağaza ""%s"" alanı bulunamadı."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Satır verisi alımı atlandı, ""%s"" değeri ""%s"" alanı için geçerli değil."
"Some of the processed products have no SKU value. Please fill it.","İşlenen ürünlerden bazılarında SKU değeri yok. Lütfen doldurunuz."
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Aşağıdaki ürünlerden bazıları için gereken seçenekler seçilmedi. Lütfen bu ürünleri sepetten silip tekrar ekleyiniz."
"Sort By","Sırala"
"Special Expires On: %s","Özel Fiyatın Bitiş Tarihi: %s"
"Special Price: %s","Özel Fiyat: %s"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Düz katalog modülünün belli bir filtrelenebilir/sıralanabilir özellik limiti vardır ( %2\$d ). Şu an varolan ise %1\$d . Bu modülü kullanmak için bu özellik sayısını azaltmanız gerekiyor."
"The attribute model is not defined","Özellik modeli ayarlanmadı"
"The attribute set has been saved.","Özellik seti kaydedildi."
"The base directory to upload image file is not specified.","Resim dosyası yükleme klasörü belirlenmedi."
"The category has been deleted.","Kategori silindi."
"The category has been saved.","Kategori kaydedildi."
"The comparison list was cleared.","Karşılaştırma listesi temizlendi."
"The email template is not specified by administrator.","Yönetici tarafından bir e-mail şablonu belirlenmedi."
"The filters must be an array.","Filtreler dizi değişken olmalıdır."
"The image contents is not valid base64 data.","Resim içeriği geçerli base64 verisi değil."
"The image is not specified.","Resim belirlenmedi."
"The product %s has been added to comparison list.","%s adlı ürün karşılaştırma listesine eklendi."
